killer_champion	victim_champion
Malzahar	Poppy
Jinx	Nautilus
Jax	Jinx
Ezreal	Kha'Zix
Jax	Malzahar
Ezreal	Malphite
Jinx	Nautilus
Ezreal	Kha'Zix
Poppy	Jinx
Poppy	Janna
Poppy	Malzahar
Zed	Ekko
Morgana	Lee Sin
Zed	Ekko
Caitlyn	Lucian
Lee Sin	Thresh
Kha'Zix	Bard
Caitlyn	Lee Sin
Lucian	Kha'Zix
Zed	Caitlyn
Malphite	Ekko
Lee Sin	Thresh
Kha'Zix	Lee Sin
Bard	Morgana
Kha'Zix	Bard
Kha'Zix	Zed
Kha'Zix	Lucian
Kha'Zix	Malphite
Ekko	Lee Sin
Thresh	Zed
Lee Sin	Morgana
Kha'Zix	Lee Sin
Lucian	Caitlyn
Bard	Thresh
Kha'Zix	Bard
Malphite	Ekko
Kha'Zix	Bard
Kha'Zix	Lee Sin
Thresh	Lucian
Zed	Morgana
Zed	Kha'Zix
Bard	Caitlyn
Bard	Thresh
Malphite	Morgana
Morgana	Lee Sin
Morgana	Lee Sin
Ekko	Zed
Kha'Zix	Lucian
Morgana	Bard
Kha'Zix	Lee Sin
Malphite	Ekko
Zed	Thresh
Kha'Zix	Zed
Lee Sin	Ekko
Bard	Caitlyn
Morgana	Lee Sin
Lucian	Thresh
Kha'Zix	Bard
Ekko	Lucian
Kha'Zix	Malphite
Zed	Kha'Zix
Morgana	Lee Sin
Zed	Ekko
Morgana	Zed
Lucian	Thresh
Malphite	Caitlyn
Lee Sin	Kha'Zix
Ekko	Bard
Morgana	Lucian
Zed	Kha'Zix
Morgana	Malphite
Lee Sin	Thresh
Kha'Zix	Malphite
Caitlyn	Lee Sin
Kha'Zix	Lucian
Morgana	Bard
Zed	Caitlyn
Ekko	Zed
Lucian	Kha'Zix
Lucian	Ekko
Morgana	Lee Sin
Kha'Zix	Lucian
Malphite	Caitlyn
Ekko	Bard
Zed	Morgana
Zed	Caitlyn
Lucian	Kha'Zix
Lucian	Ekko
Ekko	Lucian
Lee Sin	Kha'Zix
Zed	Morgana
Malphite	Ekko
Zed	Thresh
Caitlyn	Zed
Caitlyn	Lee Sin
Caitlyn	Lucian
Kha'Zix	Bard
Zed	Morgana
Bard	Kha'Zix
Lee Sin	Ekko
Thresh	Lee Sin
Morgana	Malphite
Caitlyn	Bard
Caitlyn	Lucian
Zed	Caitlyn
Thresh	Zed
Lee Sin	Thresh
Lucian	Ekko
Morgana	Bard
Lucian	Morgana
Caitlyn	Malphite
Zed	Caitlyn
Zed	Kha'Zix
Lucian	Thresh
Ekko	Lucian
Caitlyn	Zed
Bard	Morgana
Ekko	Malphite
Lee Sin	Caitlyn
Ekko	Lee Sin
Zed	Ekko
Lucian	Thresh
Bard	Morgana
Caitlyn	Zed
Thresh	Kalista
Shyvana	Gangplank
Jinx	Kalista
Morgana	Thresh
Jinx	Quinn
Anivia	LeBlanc
Kalista	Thresh
Shyvana	Gangplank
Kalista	Jinx
LeBlanc	Kalista
Kalista	Jinx
Shyvana	Anivia
Shyvana	Quinn
Quinn	LeBlanc
Jinx	Morgana
LeBlanc	Quinn
Anivia	LeBlanc
Gangplank	Jax
Kalista	Jinx
Kalista	Thresh
Quinn	LeBlanc
Quinn	Shyvana
Kalista	Thresh
Kalista	LeBlanc
Thresh	Anivia
Kalista	Jinx
Gangplank	Thresh
Shyvana	Gangplank
Kalista	Jax
Kalista	LeBlanc
Quinn	LeBlanc
Gangplank	Jinx
Kalista	Jax
Thresh	Quinn
Kalista	Thresh
Gangplank	Jax
Shyvana	Kalista
Gangplank	Thresh
LeBlanc	Kalista
Morgana	Jax
LeBlanc	Quinn
Jinx	Gangplank
Anivia	Jinx
LeBlanc	Quinn
LeBlanc	Anivia
Shyvana	Kalista
Jinx	Morgana
LeBlanc	Gangplank
Fiora	Lissandra
Lissandra	Fiora
Lucian	Brand
Brand	Janna
Twisted Fate	Fiora
LeBlanc	Lee Sin
LeBlanc	Lissandra
Jax	Lissandra
Lee Sin	Fiora
Ezreal	Janna
Jax	Brand
Jax	Twisted Fate
Lucian	Brand
Fiora	Lissandra
Brand	Jax
Ezreal	Janna
Jax	Lissandra
Jax	Lee Sin
Lissandra	Fiora
Lucian	Brand
Lucian	Ezreal
LeBlanc	Lee Sin
LeBlanc	Brand
Lucian	Twisted Fate
Lissandra	Fiora
Ezreal	LeBlanc
Ezreal	Lucian
LeBlanc	Lissandra
Jax	Brand
Twisted Fate	Jax
Lucian	Twisted Fate
Ezreal	LeBlanc
Lissandra	Lucian
Ezreal	Janna
LeBlanc	Lee Sin
Jax	Brand
Lucian	Brand
Twisted Fate	LeBlanc
Lucian	Brand
Ezreal	Jax
Lucian	Ezreal
Fiora	Lee Sin
Fiora	Lissandra
Brand	Lucian
LeBlanc	Brand
Janna	Lissandra
Lucian	Brand
Fiora	Lee Sin
LeBlanc	Ezreal
LeBlanc	Lissandra
Syndra	Lulu
Evelynn	Lucian
Shaco	Poppy
Shaco	Twitch
Syndra	Lulu
Trundle	Poppy
Evelynn	Trundle
Evelynn	Trundle
Syndra	Shaco
Morgana	Evelynn
Lucian	Syndra
Twitch	Lucian
Morgana	Braum
Morgana	Twitch
Syndra	Lucian
Trundle	Evelynn
Poppy	Trundle
Shaco	Twitch
Braum	Lulu
Lulu	Evelynn
Poppy	Lucian
Twitch	Lulu
Twitch	Morgana
Syndra	Trundle
Syndra	Shaco
Twitch	Lucian
Twitch	Morgana
Lulu	Twitch
Syndra	Lulu
Poppy	Trundle
Syndra	Shaco
Syndra	Lulu
Morgana	Evelynn
Shaco	Syndra
Twitch	Lulu
Poppy	Trundle
Poppy	Morgana
Syndra	Lucian
Shaco	Syndra
Twitch	Lulu
Twitch	Shaco
Trundle	Evelynn
Poppy	Trundle
Shaco	Braum
Lucian	Twitch
Twitch	Lucian
Lulu	Poppy
Evelynn	Lulu
Trundle	Evelynn
Poppy	Shaco
Lulu	Poppy
Evelynn	Lulu
Syndra	Lucian
Evelynn	Shaco
Syndra	Trundle
Lucian	Twitch
Twitch	Lulu
Poppy	Shaco
Evelynn	Trundle
Shaco	Syndra
Lulu	Evelynn
Poppy	Lulu
Shaco	Braum
Twitch	Lucian
Twitch	Morgana
Trundle	Syndra
Lucian	Twitch
Braum	Lucian
Evelynn	Lulu
Evelynn	Morgana
Syndra	Lucian
Shaco	Syndra
Twitch	Lulu
Shaco	Twitch
Trundle	Poppy
Evelynn	Morgana
Braum	Trundle
Shaco	Evelynn
Shaco	Braum
Twitch	Lulu
Twitch	Lucian
Shaco	Twitch
Syndra	Shaco
Evelynn	Morgana
Lulu	Syndra
Poppy	Lulu
Twitch	Shaco
Twitch	Trundle
Syndra	Lulu
Syndra	Morgana
Poppy	Lucian
Hecarim	Kayle
Brand	Blitzcrank
Lucian	Hecarim
Brand	Heimerdinger
Hecarim	Janna
Brand	Heimerdinger
Blitzcrank	Brand
Heimerdinger	Brand
Brand	Heimerdinger
Shyvana	Heimerdinger
Zed	Janna
Lucian	Blitzcrank
Miss Fortune	Kayle
Shyvana	Miss Fortune
Hecarim	Shyvana
Brand	Heimerdinger
Heimerdinger	Brand
Lucian	Miss Fortune
Blitzcrank	Kayle
Shyvana	Zed
Zed	Janna
Blitzcrank	Shyvana
Heimerdinger	Brand
Brand	Heimerdinger
Heimerdinger	Brand
Janna	Zed
Kayle	Blitzcrank
Miss Fortune	Kayle
Shyvana	Heimerdinger
Hecarim	Janna
Lucian	Miss Fortune
Heimerdinger	Brand
Shyvana	Heimerdinger
Blitzcrank	Kayle
Lucian	Miss Fortune
Brand	Blitzcrank
Zed	Janna
Kayle	Hecarim
Lucian	Miss Fortune
Blitzcrank	Shyvana
Brand	Hecarim
Zed	Janna
Brand	Heimerdinger
Hecarim	Brand
Lucian	Blitzcrank
Blitzcrank	Shyvana
Lucian	Hecarim
Zed	Janna
Lucian	Zed
Heimerdinger	Shyvana
Kayle	Zed
Lucian	Blitzcrank
Miss Fortune	Kayle
Heimerdinger	Janna
Hecarim	Lucian
Brand	Hecarim
Hecarim	Janna
Zed	Shyvana
Brand	Hecarim
Heimerdinger	Brand
Miss Fortune	Lucian
Zed	Janna
Brand	Heimerdinger
Shyvana	Zed
Brand	Miss Fortune
Lucian	Blitzcrank
Shyvana	Hecarim
Zed	Janna
Brand	Blitzcrank
Shyvana	Hecarim
Zed	Brand
Heimerdinger	Kayle
Zed	Lucian
Kayle	Miss Fortune
Brand	Blitzcrank
Kayle	Hecarim
LeBlanc	Katarina
Caitlyn	Vel'Koz
Katarina	LeBlanc
Caitlyn	Vel'Koz
Shyvana	Caitlyn
Lulu	Gangplank
LeBlanc	Katarina
Caitlyn	Sivir
Shyvana	Lulu
Lee Sin	Shyvana
Sivir	Caitlyn
Sivir	Brand
Lee Sin	Gangplank
LeBlanc	Katarina
Shyvana	Caitlyn
Sivir	Brand
Vel'Koz	Caitlyn
Sivir	Brand
Lee Sin	Sivir
Lulu	Katarina
Shyvana	Lulu
Vel'Koz	Brand
Sivir	Caitlyn
Brand	Vel'Koz
Katarina	LeBlanc
Sivir	Brand
Caitlyn	Sivir
Vel'Koz	Lee Sin
Brand	Vel'Koz
Shyvana	Brand
Lulu	Katarina
LeBlanc	Gangplank
Shyvana	Lulu
LeBlanc	Shyvana
Sivir	Lee Sin
LeBlanc	Katarina
LeBlanc	Shyvana
LeBlanc	Sivir
Brand	Gangplank
Caitlyn	Vel'Koz
Shyvana	Brand
LeBlanc	Gangplank
LeBlanc	Sivir
Lulu	Katarina
Caitlyn	Gangplank
Katarina	LeBlanc
Katarina	Brand
Vel'Koz	Caitlyn
Katarina	Lulu
Shyvana	LeBlanc
Katarina	Brand
LeBlanc	Vel'Koz
Katarina	LeBlanc
Caitlyn	Katarina
Brand	Gangplank
Sivir	Lee Sin
Sivir	Lulu
Brand	Sivir
Katarina	Lee Sin
LeBlanc	Sivir
Lulu	Katarina
Gangplank	LeBlanc
Shyvana	Brand
Caitlyn	Gangplank
Sivir	Caitlyn
Lulu	Sivir
Shyvana	Brand
LeBlanc	Katarina
Lulu	Gangplank
Lee Sin	Shyvana
Vel'Koz	Lulu
LeBlanc	Vel'Koz
Caitlyn	Gangplank
LeBlanc	Katarina
Lee Sin	Shyvana
LeBlanc	Katarina
Caitlyn	Sivir
LeBlanc	Shyvana
Brand	Vel'Koz
Brand	Gangplank
Katarina	Lulu
LeBlanc	Katarina
Shen	Nasus
Alistar	Lucian
Ezreal	Thresh
Shen	Nasus
Nunu	Zed
Ezreal	Thresh
Ezreal	Lucian
Nunu	Ezreal
Shen	Nunu
Ezreal	Lucian
Nunu	Lee Sin
Thresh	Alistar
Ezreal	Thresh
Thresh	Ezreal
Nasus	Shen
Ezreal	Lux
Shen	Nunu
Alistar	Lucian
Thresh	Lee Sin
Ezreal	Thresh
Nunu	Zed
Zed	Nasus
Ezreal	Thresh
Alistar	Lucian
Lee Sin	Nunu
Lee Sin	Lux
Lee Sin	Thresh
Nunu	Ezreal
Zed	Lucian
Shen	Lux
Lee Sin	Nunu
Shen	Nasus
Lee Sin	Nunu
Ezreal	Lucian
Alistar	Thresh
Zed	Nunu
Ezreal	Lucian
Shen	Nasus
Lucian	Ezreal
Zed	Nasus
Zed	Lucian
Zed	Lux
Ezreal	Nunu
Lee Sin	Thresh
Ezreal	Nunu
Lee Sin	Lucian
Shen	Thresh
Ezreal	Lux
Nasus	Shen
Nunu	Ezreal
Nasus	Alistar
Nasus	Lee Sin
Nasus	Ezreal
Lee Sin	Lucian
Nasus	Zed
Nunu	Lee Sin
Lux	Alistar
Nasus	Shen
Ezreal	Lux
Nasus	Ezreal
Lucian	Zed
Lux	Alistar
Lucian	Shen
Wukong	Lulu
Draven	Lucian
Wukong	Lulu
Anivia	Hecarim
Wukong	Lulu
Twisted Fate	Lee Sin
Twisted Fate	Lucian
Lee Sin	Thresh
Anivia	Twisted Fate
Lee Sin	Draven
Lulu	Wukong
Draven	Janna
Draven	Lucian
Draven	Janna
Lulu	Draven
Wukong	Lee Sin
Anivia	Hecarim
Anivia	Twisted Fate
Lucian	Hecarim
Draven	Lee Sin
Draven	Lucian
Lulu	Draven
Lulu	Thresh
Lee Sin	Wukong
Anivia	Draven
Hecarim	Lee Sin
Lucian	Hecarim
Thresh	Anivia
Wukong	Janna
Wukong	Lucian
Twisted Fate	Anivia
Hecarim	Lee Sin
Draven	Lulu
Wukong	Lucian
Anivia	Wukong
Wukong	Lulu
Wukong	Anivia
Wukong	Lee Sin
Twisted Fate	Janna
Thresh	Lucian
Poppy	Malphite
Annie	Twisted Fate
Shyvana	Ezreal
Miss Fortune	Twisted Fate
Annie	Zac
Poppy	Malphite
Miss Fortune	Zac
Annie	Braum
Shyvana	Malphite
Zac	Annie
Twisted Fate	Miss Fortune
Annie	Twisted Fate
Miss Fortune	Braum
Twisted Fate	Annie
Shyvana	Zac
Poppy	Twisted Fate
Shyvana	Braum
Poppy	Malphite
Annie	Twisted Fate
Annie	Braum
Twisted Fate	Annie
Shyvana	Ezreal
Shyvana	Twisted Fate
Shyvana	Braum
Poppy	Braum
Poppy	Twisted Fate
Thresh	Miss Fortune
Lee Sin	Alistar
Lulu	LeBlanc
Anivia	Lee Sin
Irelia	Lulu
Shyvana	Irelia
Anivia	LeBlanc
Lee Sin	Anivia
Irelia	Lulu
Shyvana	Irelia
Lee Sin	Anivia
Thresh	Miss Fortune
Lee Sin	Alistar
Anivia	Lee Sin
Alistar	Lucian
Miss Fortune	Thresh
LeBlanc	Anivia
Irelia	Lulu
Lee Sin	Alistar
Lee Sin	Miss Fortune
Shyvana	LeBlanc
Anivia	Thresh
Lee Sin	Miss Fortune
Thresh	Shyvana
Anivia	Lee Sin
Lulu	Lucian
Lee Sin	Lulu
Shyvana	LeBlanc
Shyvana	Lee Sin
Lulu	Lee Sin
Irelia	Alistar
Alistar	Irelia
LeBlanc	Miss Fortune
Lulu	LeBlanc
Irelia	Miss Fortune
Anivia	LeBlanc
Anivia	Thresh
Lulu	Irelia
Anivia	LeBlanc
Lucian	Anivia
Miss Fortune	Irelia
Alistar	Lee Sin
Lulu	Lucian
Irelia	Alistar
Miss Fortune	Thresh
Lulu	Lee Sin
Lulu	Irelia
LeBlanc	Shyvana
Miss Fortune	LeBlanc
Miss Fortune	Thresh
LeBlanc	Alistar
Lulu	Irelia
Miss Fortune	Lee Sin
LeBlanc	Shyvana
Anivia	Lucian
Anivia	LeBlanc
Anivia	Thresh
Alistar	LeBlanc
Anivia	Lucian
Anivia	Lee Sin
Anivia	Thresh
Anivia	LeBlanc
Miss Fortune	Lucian
Miss Fortune	Irelia
Nami	Lee Sin
Corki	Janna
Shyvana	Brand
Corki	Lucian
Brand	Ahri
Nami	Janna
Lee Sin	Corki
Brand	Nami
Corki	Janna
Shyvana	Lucian
Gangplank	Renekton
Ahri	Brand
Nami	Lee Sin
Shyvana	Gangplank
Brand	Corki
Janna	Shyvana
Shyvana	Brand
Shyvana	Janna
Lee Sin	Nami
Ahri	Lee Sin
Shyvana	Lucian
Brand	Shyvana
Ahri	Gangplank
Corki	Janna
Ahri	Lee Sin
Corki	Brand
Lucian	Corki
Renekton	Lucian
Lee Sin	Ahri
Janna	Renekton
Janna	Corki
Nami	Janna
Nami	Brand
Shyvana	Lucian
Nami	Lee Sin
Brand	Renekton
Lucian	Nami
Lee Sin	Corki
Nami	Janna
Renekton	Brand
Renekton	Lee Sin
Shyvana	Brand
Ahri	Lee Sin
Janna	Shyvana
Ahri	Lucian
Nami	Gangplank
Corki	Janna
Lee Sin	Anivia
Kha'Zix	Lee Sin
Twitch	Corki
Ahri	Anivia
Yasuo	Gnar
Ahri	Anivia
Yasuo	Gnar
Ahri	Kha'Zix
Ahri	Gnar
Alistar	Twitch
Corki	Lee Sin
Ahri	Kha'Zix
Kha'Zix	Yasuo
Twitch	Anivia
Yasuo	Gnar
Corki	Janna
Twitch	Corki
Gnar	Yasuo
Kha'Zix	Ahri
Gnar	Twitch
Ahri	Alistar
Gnar	Yasuo
Ahri	Gnar
Kha'Zix	Twitch
Yasuo	Kha'Zix
Kha'Zix	Ahri
Twitch	Gnar
Twitch	Kha'Zix
Yasuo	Corki
Alistar	Lee Sin
Yasuo	Anivia
Twitch	Alistar
Vel'Koz	Vayne
Vayne	Ezreal
Cassiopeia	Vladimir
Lee Sin	Thresh
Thresh	Ezreal
Vayne	Vel'Koz
Vel'Koz	Vayne
Lee Sin	Fiora
Vladimir	Fiora
Lee Sin	Cassiopeia
Kha'Zix	Vladimir
Thresh	Vel'Koz
Vayne	Ezreal
Lee Sin	Kha'Zix
Vladimir	Thresh
Ezreal	Vayne
Thresh	Ezreal
Lee Sin	Kha'Zix
Lulu	Cassiopeia
Ezreal	Kha'Zix
Vel'Koz	Vayne
Ezreal	Kha'Zix
Lulu	Thresh
Vladimir	Kha'Zix
Lee Sin	Vayne
Lee Sin	Elise
Orianna	Jax
Ezreal	Vayne
Fiora	Jax
Elise	Orianna
Blitzcrank	Lee Sin
Elise	Orianna
Ezreal	Blitzcrank
Jax	Lee Sin
Fiora	Jax
Ezreal	Blitzcrank
Elise	Ezreal
Lee Sin	Vayne
Ezreal	Blitzcrank
Fiora	Jax
Elise	Lee Sin
Orianna	Elise
Lee Sin	Jax
Yasuo	Rek'Sai
Twisted Fate	Yasuo
Vayne	Bard
Rek'Sai	Yasuo
Kha'Zix	Rek'Sai
Vayne	Jinx
Twisted Fate	Yasuo
Bard	Braum
Yasuo	Twisted Fate
Jinx	Braum
Twisted Fate	Vayne
Twisted Fate	Shen
Trundle	Kha'Zix
Rek'Sai	Shen
Trundle	Braum
Trundle	Yasuo
Rek'Sai	Yasuo
Rek'Sai	Braum
Rek'Sai	Kha'Zix
Twisted Fate	Vayne
Twisted Fate	Kha'Zix
Trundle	Vayne
Trundle	Braum
Bard	Yasuo
Lulu	Kha'Zix
Rengar	Kha'Zix
Thresh	Lucian
Kassadin	Rengar
Lulu	Kassadin
Kha'Zix	Lulu
Irelia	Gangplank
Kassadin	Lulu
Irelia	Gangplank
Rengar	Kassadin
Kha'Zix	Thresh
Irelia	Gangplank
Gangplank	Irelia
Kassadin	Lulu
Rengar	Kassadin
Kha'Zix	Lulu
Miss Fortune	Braum
Irelia	Gangplank
Lucian	Thresh
Lucian	Miss Fortune
Rengar	Kassadin
Lulu	Kha'Zix
Irelia	Gangplank
Kassadin	Irelia
Miss Fortune	Lucian
Miss Fortune	Braum
Kassadin	Lulu
Rengar	Kassadin
Thresh	Gangplank
Rengar	Gangplank
Kha'Zix	Thresh
Lucian	Miss Fortune
Lulu	Kha'Zix
Irelia	Gangplank
Rengar	Gangplank
Lucian	Miss Fortune
Irelia	Kassadin
Irelia	Braum
Irelia	Kha'Zix
Rengar	Lucian
Lulu	Gangplank
Irelia	Kassadin
Irelia	Braum
Irelia	Kha'Zix
Miss Fortune	Kassadin
Lulu	Braum
Gangplank	Miss Fortune
Irelia	Lucian
Irelia	Gangplank
Braum	Kalista
Corki	Lulu
Nidalee	Kalista
Tristana	Janna
Tristana	Kalista
Tristana	Janna
Tristana	Kalista
Kalista	Braum
Lee Sin	Nidalee
Lulu	Corki
Lulu	Nidalee
Tristana	Kalista
Lulu	Corki
Tristana	Lee Sin
Fiora	Rammus
Tristana	Kalista
Nidalee	Lee Sin
Lulu	Braum
Tristana	Kalista
Lulu	Corki
Janna	Nidalee
Braum	Lulu
Lee Sin	Tristana
Corki	Lee Sin
Lulu	Corki
Lulu	Braum
Tristana	Lulu
Corki	Lee Sin
Corki	Rammus
Lulu	Fiora
Lee Sin	Tristana
Lee Sin	Nidalee
Kalista	Braum
Lee Sin	Fiora
Corki	Kalista
Lee Sin	Tristana
Lee Sin	Nidalee
Corki	Lee Sin
Lulu	Braum
Corki	Janna
Rammus	Corki
Rammus	Tristana
Rammus	Corki
Fiora	Lee Sin
Lulu	Fiora
Lulu	Braum
Nidalee	Rammus
Lulu	Nidalee
Corki	Kalista
Lee Sin	Corki
Corki	Lee Sin
Rammus	Tristana
Fiora	Rammus
Lee Sin	Tristana
Lulu	Fiora
Lee Sin	Nidalee
Corki	Kalista
Lee Sin	Corki
Lulu	Tristana
Lulu	Braum
Nidalee	Lee Sin
Nidalee	Rammus
Kalista	Nidalee
Kalista	Fiora
Lulu	Corki
Kalista	Braum
Lulu	Tristana
Wukong	Gangplank
Tristana	Vayne
Hecarim	Tristana
Wukong	Lee Sin
Wukong	Gangplank
Thresh	Tristana
Ahri	Lee Sin
Wukong	Gangplank
Wukong	Gangplank
Tristana	Thresh
Ahri	Blitzcrank
Ahri	Tristana
Wukong	Lee Sin
Wukong	Gangplank
Hecarim	Katarina
Tristana	Hecarim
Wukong	Katarina
Wukong	Gangplank
Katarina	Wukong
Katarina	Wukong
Ahri	Katarina
Vayne	Tristana
Gangplank	Thresh
Blitzcrank	Ahri
Wukong	Gangplank
Ahri	Lee Sin
Hecarim	Katarina
Gangplank	Hecarim
Vayne	Lee Sin
Tristana	Ahri
Gangplank	Thresh
Vayne	Gangplank
Tristana	Vayne
Vayne	Gangplank
Tristana	Thresh
Wukong	Katarina
Tristana	Wukong
Vayne	Tristana
Blitzcrank	Vayne
Hecarim	Gangplank
Blitzcrank	Hecarim
Katarina	Thresh
Tristana	Vayne
Tristana	Hecarim
Wukong	Tristana
Wukong	Blitzcrank
Katarina	Thresh
Lee Sin	Ahri
Wukong	Katarina
Lee Sin	Wukong
Vayne	Gangplank
Tristana	Wukong
Tristana	Thresh
Vayne	Gangplank
Ahri	Lee Sin
Katarina	Vayne
Vayne	Katarina
Wukong	Tristana
Wukong	Blitzcrank
Wukong	Gangplank
Katarina	Wukong
Lee Sin	Thresh
Lee Sin	Vayne
Wukong	Lee Sin
Tristana	Hecarim
Tristana	Thresh
Ahri	Katarina
Tristana	Ahri
Tristana	Vayne
Tristana	Hecarim
Tristana	Wukong
Tristana	Thresh
Evelynn	Renekton
Brand	Ezreal
Evelynn	Lee Sin
Lucian	Ezreal
Brand	Lee Sin
Evelynn	Viktor
Brand	Renekton
Renekton	Rek'Sai
Lee Sin	Brand
Viktor	Nami
Viktor	Evelynn
Rek'Sai	Renekton
Renekton	Rek'Sai
Rek'Sai	Viktor
Brand	Lee Sin
Renekton	Rek'Sai
Brand	Renekton
Renekton	Rek'Sai
Ezreal	Lucian
Evelynn	Ezreal
Lee Sin	Evelynn
Brand	Lee Sin
Renekton	Nami
Viktor	Rek'Sai
Ezreal	Lucian
Nami	Ezreal
Evelynn	Viktor
Lee Sin	Rek'Sai
Renekton	Brand
Lucian	Renekton
Morgana	Brand
Lee Sin	Evelynn
Ezreal	Rek'Sai
Lee Sin	Lucian
Renekton	Brand
Evelynn	Renekton
Evelynn	Morgana
Renekton	Evelynn
Lucian	Renekton
Brand	Morgana
Evelynn	Viktor
Lee Sin	Evelynn
Brand	Lee Sin
Brand	Viktor
Brand	Renekton
Lucian	Morgana
Ezreal	Evelynn
Lucian	Ezreal
Ezreal	Nami
Renekton	Brand
Ezreal	Evelynn
Renekton	Lucian
Lee Sin	Rek'Sai
Ezreal	Nami
Ezreal	Brand
Renekton	Lucian
Evelynn	Renekton
Evelynn	Morgana
Brand	Lee Sin
Evelynn	Viktor
Nami	Renekton
Ezreal	Rek'Sai
Ezreal	Evelynn
Brand	Ezreal
Viktor	Brand
Viktor	Evelynn
Morgana	Brand
Ezreal	Rek'Sai
Lee Sin	Lucian
Brand	Viktor
Evelynn	Morgana
Renekton	Kassadin
Kassadin	Renekton
Renekton	Kassadin
Ezreal	Lucian
Ezreal	Braum
Kindred	Renekton
Kindred	Dr. Mundo
Lucian	Ezreal
Dr. Mundo	Janna
Renekton	Janna
Shen	Renekton
Kassadin	Ekko
Kindred	Dr. Mundo
Renekton	Janna
Kindred	Braum
Renekton	Kindred
Ezreal	Renekton
Renekton	Kindred
Renekton	Ezreal
Dr. Mundo	Janna
Braum	Shen
Kassadin	Renekton
Ezreal	Lucian
Renekton	Janna
Ekko	Ezreal
Renekton	Kindred
Dr. Mundo	Janna
Renekton	Kassadin
Renekton	Kindred
Renekton	Shen
Lucian	Ezreal
Lucian	Kassadin
Kindred	Lucian
Dr. Mundo	Kindred
Ezreal	Dr. Mundo
Renekton	Ezreal
Renekton	Shen
Kassadin	Braum
Renekton	Kindred
Kassadin	Renekton
Ekko	Shen
Kassadin	Renekton
Kindred	Braum
Braum	Janna
Lucian	Kindred
Kassadin	Ekko
Dr. Mundo	Kassadin
Renekton	Shen
Ekko	Kindred
Lucian	Shen
Renekton	Ezreal
Kassadin	Ekko
Ekko	Janna
Lucian	Kassadin
Lucian	Kindred
Lee Sin	Illaoi
Ezreal	Draven
Elise	Blitzcrank
Fizz	Twisted Fate
Twisted Fate	Blitzcrank
Fizz	Elise
Trundle	Illaoi
Fizz	Twisted Fate
Twisted Fate	Fizz
Draven	Ezreal
Twisted Fate	Draven
Twisted Fate	Blitzcrank
Fizz	Elise
Blitzcrank	Elise
Trundle	Alistar
Fizz	Ezreal
Fizz	Elise
Twisted Fate	Lee Sin
Alistar	Trundle
Fizz	Ezreal
Elise	Blitzcrank
Fizz	Elise
Trundle	Twisted Fate
Elise	Lee Sin
Fizz	Elise
Trundle	Alistar
Fizz	Twisted Fate
Fizz	Elise
Lee Sin	Alistar
Twisted Fate	Draven
Illaoi	Lee Sin
Twisted Fate	Lee Sin
Trundle	Elise
Ezreal	Trundle
Fizz	Ezreal
Trundle	Elise
Fizz	Twisted Fate
Draven	Illaoi
Fizz	Ezreal
Draven	Alistar
Draven	Elise
Fizz	Twisted Fate
Fizz	Ezreal
Blitzcrank	Elise
Draven	Illaoi
Draven	Alistar
Fizz	Elise
Trundle	Illaoi
Fizz	Twisted Fate
Draven	Ezreal
Syndra	Elise
Xerath	Syndra
Syndra	Elise
Syndra	Wukong
Xerath	Kha'Zix
Lucian	Blitzcrank
Draven	Lucian
Kha'Zix	Malphite
Syndra	Xerath
Gangplank	Wukong
Kha'Zix	Elise
Elise	Blitzcrank
Lucian	Draven
Elise	Kha'Zix
Xerath	Blitzcrank
Gangplank	Elise
Lucian	Draven
Draven	Malphite
Kha'Zix	Elise
Kha'Zix	Lucian
Wukong	Kha'Zix
Syndra	Wukong
Syndra	Malphite
Gangplank	Xerath
Lucian	Blitzcrank
Elise	Kha'Zix
Gangplank	Malphite
Blitzcrank	Xerath
Malphite	Syndra
Elise	Blitzcrank
Gangplank	Wukong
Kha'Zix	Malphite
Blitzcrank	Malphite
Gangplank	Elise
Gangplank	Wukong
Elise	Syndra
Gangplank	Malphite
Lucian	Kha'Zix
Lucian	Blitzcrank
Draven	Wukong
Xerath	Syndra
Gangplank	Elise
Elise	Draven
Gangplank	Malphite
Gangplank	Wukong
Xerath	Draven
Syndra	Lucian
Blitzcrank	Malphite
Syndra	Elise
Wukong	Blitzcrank
Gangplank	Wukong
Kha'Zix	Xerath
Poppy	Lee Sin
Renekton	Riven
LeBlanc	Poppy
LeBlanc	Renekton
Vayne	Braum
Vayne	Lucian
Riven	Renekton
Lucian	Lee Sin
Lucian	Soraka
Lucian	Vayne
Riven	Lucian
Lucian	Soraka
Poppy	Vayne
Riven	Renekton
Braum	Riven
Poppy	Soraka
Zilean	Lee Sin
Lucian	Vayne
Renekton	Lee Sin
Renekton	Soraka
Renekton	LeBlanc
Zilean	Vayne
Vayne	Renekton
Lee Sin	Lucian
Poppy	Riven
Zilean	Soraka
Riven	Lucian
Riven	Braum
Lee Sin	Zilean
Renekton	Lee Sin
Poppy	Vayne
Lucian	Soraka
LeBlanc	Lucian
Vayne	Renekton
Lucian	Vayne
LeBlanc	Zilean
Vayne	Lucian
Lee Sin	Braum
Renekton	Soraka
Poppy	Lee Sin
Riven	Poppy
Renekton	Vayne
Riven	Renekton
Lucian	Riven
Lee Sin	Poppy
Zilean	Vayne
